52060,14228,2455,19524,1889,9364,424,3955,195,27,55827,13335,2592,23412,1889,9630,397,4343,198,31,53726,15848,2866,18393,2304,9734,288,4058,200,33,58816,17632,3615,19724,2304,10829,282,4188,196,45,57543,16915,3820,19030,1981,10843,228,4461,196,67,59831,14699,4128,23254,2073,10624,193,4554,206,100,55971,14210,3913,20545,1579,10998,158,4219,221,129,54631,10339,3575,23786,1635,10876,124,3889,243,164,56741,11375,4279,23087,1824,11455,71,4166,259,224,53840,10826,4440,21001,1583,11293,90,4022,319,265,55542,11385,4761,21293,1529,11589,50,4245,342,350,52968,8941,4740,21495,1641,11560,34,3742,374,439,51038,7751,4905,20930,1471,11445,24,3433,410,668,50390,6378,4790,21631,1265,11623,17,3410,438,838,42592,5194,3707,17287,1030,11252,9,2798,453,863,46512,5076,4333,19396,1368,11538,8,3211,456,1125,48026,4672,4812,20244,1318,11736,6,3435,458,1344,46908,4283,4983,19142,1327,11977,4,3308,458,1426,44610,4025,4643,17563,1188,12124,3,3138,457,1468,44270,4096,4427,17101,1142,12308,0,3093,443,1659,44891,4466,4417,16283,1093,13083,0,3140,430,1979
36512,12419,1828,16883,697,893,383,3390,4,15,40115,11744,1952,20497,728,1061,366,3744,5,18,37904,13937,2170,16005,1095,883,265,3524,5,20,42177,15697,2824,17430,1141,1099,263,3688,5,30,40946,15025,2977,16779,896,1097,215,3913,5,40,43434,13115,3245,20633,1006,1174,183,4013,5,61,39402,12550,2992,18104,608,1285,151,3633,5,73,38133,9045,2663,20876,673,1365,118,3297,6,89,39504,10035,3297,20326,874,1147,68,3629,7,122,36803,9522,3384,18437,698,1083,74,3463,7,135,38336,10045,3676,18837,692,1179,37,3670,8,191,35757,7866,3604,18916,806,1100,25,3198,9,232,34072,6818,3704,18388,700,1126,18,2923,9,387,33383,5621,3579,19049,567,1185,12,2868,10,491,26147,4462,2543,14902,388,1209,6,2172,10,455,29773,4444,3160,16967,687,1170,6,2656,11,672,31185,4117,3674,17823,593,1237,4,2876,11,851,29832,3757,3796,16790,610,1210,3,2752,11,903,27286,3493,3405,15242,573,1067,2,2579,11,914,27654,3603,3180,15046,462,1774,0,2539,9,1042,27809,3950,3216,14348,443,1954,0,2606,10,1281
21,-,-,-,-,21,-,-,-,-,28,-,-,-,-,28,-,-,-,-,31,-,-,-,-,31,-,-,-,-,114,-,-,-,-,114,-,-,-,-,39,-,-,-,-,39,-,-,-,-,54,-,-,-,-,54,-,-,-,-,118,-,-,-,-,118,-,-,-,-,123,-,-,-,-,123,-,-,-,-,121,-,-,-,-,121,-,-,-,-,149,-,-,-,-,149,-,-,-,-,173,-,-,-,-,173,-,-,-,-,198,-,-,-,-,198,-,-,-,-,271,-,-,-,-,271,-,-,-,-,255,-,-,-,-,255,-,-,-,-,132,-,-,-,-,132,-,-,-,-,303,-,-,-,-,303,-,-,-,-,215,-,-,-,-,215,-,-,-,-,218,-,-,-,-,218,-,-,-,-,237,-,-,-,-,237,-,-,-,-,336,-,-,-,-,336,-,-,-,-,256,-,-,-,-,256,-,-,-,-
7858,1809,489,2256,166,2330,41,565,190,13,7960,1591,487,2542,162,2341,31,600,193,13,7835,1911,529,2028,240,2360,24,535,196,14,7822,1935,612,1949,225,2375,18,500,192,15,7794,1890,652,1919,180,2372,13,548,192,27,7914,1585,680,2302,194,2362,10,541,201,39,7838,1659,708,2134,133,2339,7,587,215,56,7974,1293,690,2615,161,2305,5,591,237,75,7926,1340,753,2477,185,2276,4,537,253,102,7795,1304,821,2290,158,2205,17,559,312,130,7748,1340,844,2192,147,2145,12,575,334,158,7720,1075,866,2319,182,2154,9,544,366,207,7644,933,905,2289,162,2156,6,510,401,282,7592,757,890,2335,134,2155,5,542,428,347,7458,732,821,2144,119,2162,3,627,443,409,7465,631,840,2197,174,2166,2,556,446,452,7480,556,905,2195,139,2182,2,559,448,493,7488,526,957,2132,147,2199,1,556,447,523,7488,533,933,2106,150,2206,1,559,447,554,7419,493,1061,1856,147,2256,0,555,434,617,7261,516,1021,1740,135,2196,0,534,421,698
2085,-,138,385,1026,536,-,-,-,-,2083,-,153,373,999,559,-,-,-,-,2079,-,167,359,969,584,-,-,-,-,2061,-,179,345,937,599,-,-,-,-,2043,-,192,332,905,613,-,-,-,-,2024,-,203,319,873,628,-,-,-,-,2003,-,213,307,838,646,-,-,-,-,1982,-,222,295,801,664,-,-,-,-,1960,-,229,284,764,682,-,-,-,-,1936,-,236,273,727,700,-,-,-,-,1909,-,241,263,690,715,-,-,-,-,1945,-,271,260,653,761,-,-,-,-,1954,-,296,253,609,796,-,-,-,-,1963,-,320,247,565,831,-,-,-,-,1975,-,343,241,523,868,-,-,-,-,1954,-,332,232,507,882,-,-,-,-,1954,-,233,226,586,909,-,-,-,-,1950,-,231,220,570,929,-,-,-,-,1938,-,305,215,465,954,-,-,-,-,1885,-,186,199,534,966,-,-,-,-,1853,-,180,195,515,963,-,-,-,-
5583,-,-,-,-,5583,-,-,-,-,5641,-,-,-,-,5641,-,-,-,-,5876,-,-,-,-,5876,-,-,-,-,6641,-,-,-,-,6641,-,-,-,-,6721,-,-,-,-,6721,-,-,-,-,6405,-,-,-,-,6405,-,-,-,-,6610,-,-,-,-,6610,-,-,-,-,6418,-,-,-,-,6418,-,-,-,-,7229,-,-,-,-,7229,-,-,-,-,7157,-,-,-,-,7157,-,-,-,-,7377,-,-,-,-,7377,-,-,-,-,7348,-,-,-,-,7348,-,-,-,-,7097,-,-,-,-,7097,-,-,-,-,7197,-,-,-,-,7197,-,-,-,-,6880,-,-,-,-,6880,-,-,-,-,7017,-,-,-,-,7017,-,-,-,-,7193,-,-,-,-,7193,-,-,-,-,7421,-,-,-,-,7421,-,-,-,-,7660,-,-,-,-,7660,-,-,-,-,6977,-,-,-,-,6977,-,-,-,-,7713,-,-,-,-,7713,-,-,-,-
1115,-,-,-,-,1115,-,-,-,-,1122,-,-,-,-,1122,-,-,-,-,1127,-,-,-,-,1127,-,-,-,-,1127,-,-,-,-,1127,-,-,-,-,1123,-,-,-,-,1123,-,-,-,-,1117,-,-,-,-,1117,-,-,-,-,1096,-,-,-,-,1096,-,-,-,-,1065,-,-,-,-,1065,-,-,-,-,1031,-,-,-,-,1031,-,-,-,-,992,-,-,-,-,992,-,-,-,-,942,-,-,-,-,942,-,-,-,-,914,-,-,-,-,914,-,-,-,-,895,-,-,-,-,895,-,-,-,-,844,-,-,-,-,844,-,-,-,-,772,-,-,-,-,772,-,-,-,-,712,-,-,-,-,712,-,-,-,-,682,-,-,-,-,682,-,-,-,-,661,-,-,-,-,661,-,-,-,-,642,-,-,-,-,642,-,-,-,-,582,-,-,-,-,582,-,-,-,-,557,-,-,-,-,557,-,-,-,-
919,-,-,-,-,919,-,-,-,-,904,-,-,-,-,904,-,-,-,-,892,-,-,-,-,892,-,-,-,-,879,-,-,-,-,879,-,-,-,-,868,-,-,-,-,868,-,-,-,-,854,-,-,-,-,854,-,-,-,-,838,-,-,-,-,838,-,-,-,-,824,-,-,-,-,824,-,-,-,-,810,-,-,-,-,810,-,-,-,-,797,-,-,-,-,797,-,-,-,-,789,-,-,-,-,789,-,-,-,-,780,-,-,-,-,780,-,-,-,-,757,-,-,-,-,757,-,-,-,-,734,-,-,-,-,734,-,-,-,-,726,-,-,-,-,726,-,-,-,-,708,-,-,-,-,708,-,-,-,-,688,-,-,-,-,688,-,-,-,-,672,-,-,-,-,672,-,-,-,-,658,-,-,-,-,658,-,-,-,-,641,-,-,-,-,641,-,-,-,-,660,-,-,-,-,660,-,-,-,-
965,-,-,-,-,965,-,-,-,-,958,-,-,-,-,958,-,-,-,-,946,-,-,-,-,946,-,-,-,-,917,-,-,-,-,917,-,-,-,-,885,-,-,-,-,885,-,-,-,-,850,-,-,-,-,850,-,-,-,-,813,-,-,-,-,813,-,-,-,-,779,-,-,-,-,779,-,-,-,-,742,-,-,-,-,742,-,-,-,-,706,-,-,-,-,706,-,-,-,-,676,-,-,-,-,676,-,-,-,-,681,-,-,-,-,681,-,-,-,-,676,-,-,-,-,676,-,-,-,-,670,-,-,-,-,670,-,-,-,-,679,-,-,-,-,679,-,-,-,-,663,-,-,-,-,663,-,-,-,-,676,-,-,-,-,676,-,-,-,-,677,-,-,-,-,677,-,-,-,-,663,-,-,-,-,663,-,-,-,-,644,-,-,-,-,644,-,-,-,-,550,-,-,-,-,550,-,-,-,-
776,-,-,-,-,776,-,-,-,-,742,-,-,-,-,742,-,-,-,-,709,-,-,-,-,709,-,-,-,-,672,-,-,-,-,672,-,-,-,-,643,-,-,-,-,643,-,-,-,-,608,-,-,-,-,608,-,-,-,-,575,-,-,-,-,575,-,-,-,-,547,-,-,-,-,547,-,-,-,-,520,-,-,-,-,520,-,-,-,-,522,-,-,-,-,522,-,-,-,-,508,-,-,-,-,508,-,-,-,-,497,-,-,-,-,497,-,-,-,-,482,-,-,-,-,482,-,-,-,-,470,-,-,-,-,470,-,-,-,-,459,-,-,-,-,459,-,-,-,-,447,-,-,-,-,447,-,-,-,-,438,-,-,-,-,438,-,-,-,-,430,-,-,-,-,430,-,-,-,-,343,-,-,-,-,343,-,-,-,-,331,-,-,-,-,331,-,-,-,-,329,-,-,-,-,329,-,-,-,-
100,-,-,-,-,100,-,-,-,-,113,-,-,-,-,113,-,-,-,-,126,-,-,-,-,126,-,-,-,-,138,-,-,-,-,138,-,-,-,-,148,-,-,-,-,148,-,-,-,-,158,-,-,-,-,158,-,-,-,-,168,-,-,-,-,168,-,-,-,-,177,-,-,-,-,177,-,-,-,-,185,-,-,-,-,185,-,-,-,-,171,-,-,-,-,171,-,-,-,-,181,-,-,-,-,181,-,-,-,-,184,-,-,-,-,184,-,-,-,-,184,-,-,-,-,184,-,-,-,-,182,-,-,-,-,182,-,-,-,-,182,-,-,-,-,182,-,-,-,-,174,-,-,-,-,174,-,-,-,-,171,-,-,-,-,171,-,-,-,-,162,-,-,-,-,162,-,-,-,-,145,-,-,-,-,145,-,-,-,-,136,-,-,-,-,136,-,-,-,-,188,-,-,-,-,188,-,-,-,-
218,-,-,-,-,218,-,-,-,-,237,-,-,-,-,237,-,-,-,-,256,-,-,-,-,256,-,-,-,-,270,-,-,-,-,270,-,-,-,-,283,-,-,-,-,283,-,-,-,-,295,-,-,-,-,295,-,-,-,-,306,-,-,-,-,306,-,-,-,-,317,-,-,-,-,317,-,-,-,-,327,-,-,-,-,327,-,-,-,-,338,-,-,-,-,338,-,-,-,-,348,-,-,-,-,348,-,-,-,-,362,-,-,-,-,362,-,-,-,-,373,-,-,-,-,373,-,-,-,-,383,-,-,-,-,383,-,-,-,-,397,-,-,-,-,397,-,-,-,-,391,-,-,-,-,391,-,-,-,-,414,-,-,-,-,414,-,-,-,-,423,-,-,-,-,423,-,-,-,-,419,-,-,-,-,419,-,-,-,-,414,-,-,-,-,414,-,-,-,-,394,-,-,-,-,394,-,-,-,-
219,-,-,-,-,219,-,-,-,-,246,-,-,-,-,246,-,-,-,-,273,-,-,-,-,273,-,-,-,-,304,-,-,-,-,304,-,-,-,-,333,-,-,-,-,333,-,-,-,-,355,-,-,-,-,355,-,-,-,-,371,-,-,-,-,371,-,-,-,-,382,-,-,-,-,382,-,-,-,-,387,-,-,-,-,387,-,-,-,-,358,-,-,-,-,358,-,-,-,-,361,-,-,-,-,361,-,-,-,-,367,-,-,-,-,367,-,-,-,-,371,-,-,-,-,371,-,-,-,-,370,-,-,-,-,370,-,-,-,-,365,-,-,-,-,365,-,-,-,-,354,-,-,-,-,354,-,-,-,-,344,-,-,-,-,344,-,-,-,-,334,-,-,-,-,334,-,-,-,-,251,-,-,-,-,251,-,-,-,-,234,-,-,-,-,234,-,-,-,-,221,-,-,-,-,221,-,-,-,-
285,-,-,-,-,285,-,-,-,-,289,-,-,-,-,289,-,-,-,-,301,-,-,-,-,301,-,-,-,-,317,-,-,-,-,317,-,-,-,-,333,-,-,-,-,333,-,-,-,-,351,-,-,-,-,351,-,-,-,-,369,-,-,-,-,369,-,-,-,-,393,-,-,-,-,393,-,-,-,-,426,-,-,-,-,426,-,-,-,-,459,-,-,-,-,459,-,-,-,-,488,-,-,-,-,488,-,-,-,-,508,-,-,-,-,508,-,-,-,-,516,-,-,-,-,516,-,-,-,-,512,-,-,-,-,512,-,-,-,-,504,-,-,-,-,504,-,-,-,-,478,-,-,-,-,478,-,-,-,-,453,-,-,-,-,453,-,-,-,-,433,-,-,-,-,433,-,-,-,-,403,-,-,-,-,403,-,-,-,-,377,-,-,-,-,377,-,-,-,-,313,-,-,-,-,313,-,-,-,-
986,-,-,-,-,986,-,-,-,-,1029,-,-,-,-,1029,-,-,-,-,1246,-,-,-,-,1246,-,-,-,-,2018,-,-,-,-,2018,-,-,-,-,2105,-,-,-,-,2105,-,-,-,-,1817,-,-,-,-,1817,-,-,-,-,2073,-,-,-,-,2073,-,-,-,-,1935,-,-,-,-,1935,-,-,-,-,2801,-,-,-,-,2801,-,-,-,-,2814,-,-,-,-,2814,-,-,-,-,3083,-,-,-,-,3083,-,-,-,-,3055,-,-,-,-,3055,-,-,-,-,2842,-,-,-,-,2842,-,-,-,-,3031,-,-,-,-,3031,-,-,-,-,2796,-,-,-,-,2796,-,-,-,-,3089,-,-,-,-,3089,-,-,-,-,3327,-,-,-,-,3327,-,-,-,-,3628,-,-,-,-,3628,-,-,-,-,4136,-,-,-,-,4136,-,-,-,-,3617,-,-,-,-,3617,-,-,-,-,4500,-,-,-,-,4500,-,-,-,-
